time,open,high,low,close
1751320800,3302.73,3304.97,3302.04,3304.13
1751321700,3304.13,3307.69,3303.94,3307.14
1751322600,3307.14,3308.92,3305.8,3308.73
1751323500,3308.73,3314.5,3307.32,3311.33
1751324400,3311.33,3312.08,3309.79,3311.77
1751325300,3311.77,3312.13,3308.46,3309.43
1751326200,3309.43,3311.06,3308.68,3310.69
1751327100,3310.69,3312.42,3310.15,3312.42
1751328000,3312.42,3313.33,3309.76,3312.21
1751328900,3312.21,3312.7,3310.3,3310.84
1751329800,3310.84,3313.21,3310.77,3311.43
1751330700,3311.43,3314.83,3311.23,3314.74
1751331600,3314.74,3318.89,3313.77,3318.68
1751332500,3318.68,3320.85,3318.05,3320.22
1751333400,3320.22,3321,3316.03,3319.68
1751334300,3319.68,3320.56,3315.64,3317.72
1751335200,3317.72,3317.78,3315.45,3316.01
1751336100,3316.01,3317.31,3314.35,3315.94
1751337000,3315.94,3319.14,3315.07,3317.96
1751337900,3317.96,3319.3,3315.93,3316.02
1751338800,3316.02,3318.27,3315.68,3317.21
1751339700,3317.21,3321.85,3316.7,3321.01
1751340600,3321.01,3321.64,3317.89,3321.55
1751341500,3321.55,3322.59,3319.78,3320.96
1751342400,3320.96,3322.55,3318.83,3321.27
1751343300,3321.27,3323.05,3321.02,3322.61
1751344200,3322.61,3322.94,3321.92,3322.74
1751345100,3322.74,3323.01,3321.86,3322.76
1751346000,3322.76,3328.64,3322.76,3328.28
1751346900,3328.28,3330.01,3327.59,3329.47
1751347800,3329.47,3332.22,3328.48,3330.02
1751348700,3330.02,3331.31,3328.01,3328.64
1751349600,3328.64,3330.54,3326.6,3327.93
1751350500,3327.93,3329.47,3324.92,3328.06
1751351400,3328.06,3332.63,3327.28,3332.05
1751352300,3332.05,3334.43,3330.49,3331.32
1751353200,3331.32,3337.21,3330.73,3336.16
1751354100,3336.16,3338.8,3335.42,3338.7
1751355000,3338.7,3339.81,3333.46,3337.64
1751355900,3337.64,3339.79,3336.62,3339.42
1751356800,3339.42,3342.04,3337.58,3337.75
1751357700,3337.75,3340.26,3336.67,3339.68
